date,discipline,hippodrome,numcourse,partants,distance,prono1,prono2,prono3,prono4,prono5,prono6,prono7,prono8,a1,rapport,si_a1_dans_pronos,race_id
2022-10-10,trot,Enghien,C1,16.0,2875.0,6.0,16.0,9.0,8.0,12.0,10.0,15.0,1.0,9.0,5.2,1.0,2022-10-10_Enghien_C1
2022-10-11,galop,SaintCloud,C1,16.0,2400.0,3.0,4.0,8.0,6.0,1.0,7.0,15.0,9.0,6.0,7.5,1.0,2022-10-11_SaintCloud_C1
2022-10-12,trot,Enghien,C1,16.0,2875.0,14.0,16.0,8.0,9.0,15.0,1.0,6.0,5.0,14.0,3.3,1.0,2022-10-12_Enghien_C1
2022-10-13,galop,Longchamps,C1,16.0,1950.0,7.0,14.0,2.0,9.0,16.0,4.0,15.0,10.0,2.0,8.5,1.0,2022-10-13_Longchamps_C1
2022-10-14,trot,Vincennes,C4,17.0,2100.0,9.0,4.0,11.0,13.0,6.0,7.0,5.0,8.0,13.0,9.3,1.0,2022-10-14_Vincennes_C4
2022-10-15,galop,Auteuil,C4,16.0,3900.0,1.0,11.0,14.0,5.0,16.0,9.0,7.0,2.0,12.0,22.0,0.0,2022-10-15_Auteuil_C4
2022-10-16,galop,Longchamps,C4,14.0,1600.0,2.0,1.0,11.0,3.0,6.0,8.0,9.0,5.0,2.0,6.5,1.0,2022-10-16_Longchamps_C4
2022-10-17,galop,Clairefontaine,C1,16.0,2400.0,3.0,15.0,11.0,14.0,1.0,6.0,10.0,8.0,1.0,12.0,1.0,2022-10-17_Clairefontaine_C1
2022-10-18,trot,Vincennes,C1,16.0,2100.0,13.0,6.0,1.0,8.0,4.0,2.0,3.0,5.0,6.0,6.4,1.0,2022-10-18_Vincennes_C1
2022-10-19,trot,Feurs,C1,14.0,2850.0,12.0,4.0,14.0,13.0,7.0,9.0,1.0,3.0,13.0,18.0,1.0,2022-10-19_Feurs_C1
2022-10-20,galop,Deauville,C4,14.0,1200.0,7.0,8.0,1.0,3.0,10.0,4.0,6.0,9.0,14.0,30.0,0.0,2022-10-20_Deauville_C4
2022-10-21,trot,Vincennes,C3,16.0,2850.0,3.0,7.0,2.0,1.0,11.0,4.0,14.0,5.0,3.0,2.1,1.0,2022-10-21_Vincennes_C3
2022-10-22,galop,SaintCloud,C4,33.0,1600.0,5.0,9.0,13.0,4.0,6.0,1.0,3.0,15.0,6.0,7.4,1.0,2022-10-22_SaintCloud_C4
2022-10-23,galop,Longchamps,C4,16.0,2200.0,12.0,8.0,5.0,7.0,1.0,10.0,2.0,9.0,1.0,11.5,1.0,2022-10-23_Longchamps_C4
2022-10-24,galop,Marseille,C4,16.0,2000.0,7.0,3.0,13.0,2.0,5.0,4.0,1.0,15.0,7.0,3.9,1.0,2022-10-24_Marseille_C4
2022-10-25,galop,Auteuil,C1,16.0,3600.0,3.0,7.0,9.0,2.0,4.0,5.0,1.0,14.0,7.0,5.5,1.0,2022-10-25_Auteuil_C1
2022-10-26,trot,Enghien,C1,16.0,2150.0,6.0,1.0,16.0,2.0,9.0,3.0,5.0,11.0,5.0,13.0,1.0,2022-10-26_Enghien_C1
2022-10-27,galop,Longchamps,C1,15.0,2800.0,6.0,2.0,10.0,11.0,1.0,4.0,9.0,5.0,10.0,9.5,1.0,2022-10-27_Longchamps_C1
2022-10-28,trot,Vincennes,C4,16.0,2850.0,15.0,13.0,8.0,3.0,6.0,9.0,11.0,2.0,13.0,5.2,1.0,2022-10-28_Vincennes_C4
2022-10-29,galop,Compiegne,C3,16.0,3600.0,1.0,6.0,4.0,12.0,14.0,10.0,9.0,8.0,12.0,7.3,1.0,2022-10-29_Compiegne_C3
2022-10-30,galop,Chantilly,C6,78.0,1600.0,5.0,1.0,12.0,3.0,6.0,2.0,8.0,4.0,7.0,13.0,0.0,2022-10-30_Chantilly_C6
2022-10-31,galop,SaintCloud,C3,16.0,2500.0,1.0,14.0,8.0,2.0,15.0,3.0,7.0,9.0,5.0,13.0,0.0,2022-10-31_SaintCloud_C3
2022-11-01,trot,Laval,C3,16.0,2850.0,6.0,2.0,1.0,11.0,7.0,5.0,9.0,15.0,7.0,8.0,1.0,2022-11-01_Laval_C3
2022-11-02,galop,Chantilly,C3,16.0,1300.0,9.0,5.0,3.0,2.0,6.0,11.0,7.0,13.0,2.0,14.0,1.0,2022-11-02_Chantilly_C3
2022-11-03,trot,Vincennes,C1,16.0,2700.0,4.0,8.0,3.0,12.0,11.0,2.0,16.0,7.0,4.0,2.3,1.0,2022-11-03_Vincennes_C1
2022-11-04,trot,Vincennes,C4,15.0,2100.0,5.0,6.0,3.0,1.0,7.0,4.0,2.0,15.0,6.0,8.0,1.0,2022-11-04_Vincennes_C4
2022-11-05,galop,Deauville,C3,16.0,2500.0,1.0,8.0,9.0,7.0,2.0,3.0,10.0,4.0,7.0,9.3,1.0,2022-11-05_Deauville_C3
2022-11-06,galop,Deauville,C4,16.0,1900.0,2.0,5.0,4.0,13.0,7.0,10.0,3.0,11.0,5.0,6.6,1.0,2022-11-06_Deauville_C4
2022-11-07,trot,Vincennes,C1,16.0,2700.0,12.0,11.0,13.0,16.0,14.0,15.0,10.0,3.0,12.0,3.0,1.0,2022-11-07_Vincennes_C1
2022-11-08,galop,Fontainebleau,C4,16.0,1400.0,3.0,9.0,8.0,2.0,1.0,6.0,7.0,4.0,7.0,15.8,1.0,2022-11-08_Fontainebleau_C4
2022-11-09,trot,Nantes,C2,16.0,3000.0,7.0,13.0,14.0,8.0,12.0,1.0,4.0,3.0,14.0,4.2,1.0,2022-11-09_Nantes_C2
2022-11-10,trot,Vincennes,C1,15.0,2100.0,1.0,5.0,13.0,4.0,8.0,6.0,7.0,9.0,1.0,2.6,1.0,2022-11-10_Vincennes_C1
2022-11-11,galop,Toulouse,C3,16.0,2400.0,13.0,3.0,14.0,5.0,7.0,2.0,4.0,9.0,13.0,3.8,1.0,2022-11-11_Toulouse_C3
2022-11-12,trot,Vincennes,C3,15.0,2700.0,11.0,2.0,1.0,5.0,9.0,4.0,8.0,6.0,11.0,1.9,1.0,2022-11-12_Vincennes_C3
2022-11-13,galop,Auteuil,C5,14.0,4300.0,10.0,4.0,11.0,2.0,5.0,7.0,12.0,3.0,7.0,15.5,1.0,2022-11-13_Auteuil_C5
2022-11-14,trot,Bordeaux,C4,13.0,2650.0,7.0,2.0,10.0,3.0,13.0,12.0,5.0,4.0,7.0,1.6,1.0,2022-11-14_Bordeaux_C4
2022-11-15,galop,Chantilly,C5,16.0,1800.0,5.0,1.0,12.0,6.0,3.0,14.0,4.0,2.0,12.0,9.4,1.0,2022-11-15_Chantilly_C5
2022-11-16,galop,Chantilly,C4,16.0,1600.0,7.0,6.0,1.0,10.0,9.0,5.0,12.0,4.0,4.0,29.0,1.0,2022-11-16_Chantilly_C4
2022-11-17,galop,SaintCloud,C3,16.0,2000.0,7.0,11.0,13.0,15.0,2.0,5.0,6.0,10.0,11.0,7.5,1.0,2022-11-17_SaintCloud_C3
2022-11-18,trot,Vincennes,C3,15.0,2100.0,3.0,4.0,6.0,2.0,8.0,14.0,13.0,12.0,3.0,3.9,1.0,2022-11-18_Vincennes_C3
2022-11-19,galop,Auteuil,C6,15.0,3900.0,3.0,7.0,2.0,11.0,1.0,9.0,6.0,5.0,1.0,20.0,1.0,2022-11-19_Auteuil_C6
2022-11-20,trot,Vincennes,C4,17.0,2700.0,8.0,13.0,2.0,16.0,7.0,17.0,9.0,15.0,2.0,7.3,1.0,2022-11-20_Vincennes_C4
2022-11-21,trot,Vincennes,C1,13.0,2700.0,4.0,1.0,3.0,6.0,10.0,11.0,9.0,5.0,4.0,5.5,1.0,2022-11-21_Vincennes_C1
2022-11-22,galop,Deauville,C1,16.0,1300.0,9.0,1.0,13.0,5.0,7.0,12.0,11.0,10.0,7.0,14.0,1.0,2022-11-22_Deauville_C1
2022-11-23,trot,Mauquenchy,C1,16.0,2850.0,7.0,4.0,3.0,13.0,6.0,1.0,2.0,10.0,3.0,5.3,1.0,2022-11-23_Mauquenchy_C1
2022-11-24,trot,Vincennes,C1,16.0,2850.0,16.0,12.0,7.0,13.0,3.0,15.0,5.0,1.0,13.0,11.7,1.0,2022-11-24_Vincennes_C1
2022-11-25,trot,Vincennes,C3,16.0,2700.0,9.0,8.0,14.0,7.0,5.0,15.0,11.0,10.0,8.0,6.7,1.0,2022-11-25_Vincennes_C3
2022-11-26,trot,Vincennes,C7,14.0,2700.0,3.0,4.0,9.0,2.0,12.0,6.0,5.0,10.0,9.0,5.3,1.0,2022-11-26_Vincennes_C7
2022-11-27,galop,Toulouse,C1,17.0,2400.0,17.0,10.0,5.0,6.0,16.0,4.0,14.0,3.0,8.0,28.0,0.0,2022-11-27_Toulouse_C1
2022-11-28,trot,Vincennes,C1,16.0,2700.0,12.0,15.0,14.0,10.0,5.0,8.0,16.0,7.0,8.0,20.0,1.0,2022-11-28_Vincennes_C1
2022-11-29,galop,Deauville,C2,16.0,1900.0,6.0,1.0,10.0,7.0,3.0,4.0,15.0,5.0,9.0,23.0,0.0,2022-11-29_Deauville_C2
